title,author,price,original_price,url,website,isbn,description,image_url,category,date_parsed
Скорбь Сатаны,Мария Корелли,339,339 ₽,https://www.chitai-gorod.ru/product/skorb-satany-2772938,chitai-gorod,978916569695,Книга 'Скорбь Сатаны...',https://content.img-gorod.ru/pim/products/images/dc/ef/01931e88-6701-7bf6-81c8-0efcbde6dcef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
1984,Джордж Оруэлл,339,339 ₽,https://www.chitai-gorod.ru/product/1984-novyy-perevod-2918634,chitai-gorod,978167293105,Книга '1984...',https://content.img-gorod.ru/pim/products/images/02/44/01998498-eeb3-7634-8064-83caf0450244.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Грозовой перевал,Эмили Джейн Бронте,299,299 ₽,https://www.chitai-gorod.ru/product/grozovoy-pereval-2809160,chitai-gorod,978829297910,Книга 'Грозовой перевал...',https://content.img-gorod.ru/pim/products/images/57/5b/018fa205-428e-7c03-934f-c95c0275575b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Письма Баламута. Баламут предлагает тост,Клайв Льюис,349,349 ₽,https://www.chitai-gorod.ru/product/pisma-balamuta-balamut-predlagaet-tost-2697150,chitai-gorod,978488722663,Книга 'Письма Баламута. Баламут предлагает тост...',https://content.img-gorod.ru/pim/products/images/fe/c0/0199ea73-10ab-7ef7-9ba7-1d65b19cfec0.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Преступление и наказание,Федор Достоевский,329,329 ₽,https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-2465295,chitai-gorod,978822872605,Книга 'Преступление и наказание...',https://content.img-gorod.ru/pim/products/images/43/6f/0191b5fa-b44a-7ddd-abc9-69bb2670436f.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мастер и Маргарита: роман,Михаил Булгаков,309,309 ₽,https://www.chitai-gorod.ru/product/master-i-margarita-roman-2926100,chitai-gorod,978955615830,Книга 'Мастер и Маргарита: роман...',https://content.img-gorod.ru/pim/products/images/e9/9b/018fa279-3bbb-7d59-bad3-940d92f5e99b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Портрет Дориана Грея,Оскар Уайльд,309,309 ₽,https://www.chitai-gorod.ru/product/portret-doriana-greya-2592760,chitai-gorod,978227777925,Книга 'Портрет Дориана Грея...',https://content.img-gorod.ru/pim/products/images/44/7b/01993210-dde2-78f7-a0f7-4a190d60447b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Отцы и дети,Иван Тургенев,309,309 ₽,https://www.chitai-gorod.ru/product/otcy-i-deti-2467384,chitai-gorod,978956106652,Книга 'Отцы и дети...',https://content.img-gorod.ru/pim/products/images/d3/15/01934cd2-336c-7088-b320-9c57e80dd315.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Человек недостойный,Дадзай Осаму,309,309 ₽,https://www.chitai-gorod.ru/product/chelovek-nedostoynyy-3032403,chitai-gorod,978923296181,Книга 'Человек недостойный...',https://content.img-gorod.ru/pim/products/images/85/07/0197d439-2601-7eac-9117-c6126ac18507.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Идиот,Федор Достоевский,319,319 ₽,https://www.chitai-gorod.ru/product/idiot-2891539,chitai-gorod,978961346122,Книга 'Идиот...',https://content.img-gorod.ru/pim/products/images/53/ef/018fa25b-aa96-730d-acbb-9e85ba5253ef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
