title,author,price,original_price,url,website,isbn,description,image_url,publisher,year,category,date_parsed
JavaScript. Создание визуальных эффектов. Учебное пособие для СПО,Янцев Валерий Викторович,1379,1 379 ₽,https://www.labirint.ru/books/1015908/,labirint,978310493207,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Создание визуальных эффектов. Учебное пособие для СПО",https://imo10.labirint.ru/books/1015908/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО,Микушин Александр Владимирович,381,381 ₽,https://www.labirint.ru/books/952676/,labirint,978840768717,"Лань: 

Компьютеры и программное обеспечение, 2023. Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО",https://imo10.labirint.ru/books/952676/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
GPT-3. Руководство по использованию API Open AI,"Кублик, Сабу",2537,2 537 ₽,https://www.labirint.ru/books/945154/,labirint,978686333770,"ДМК-Пресс, 2023. GPT-3. Руководство по использованию API Open AI",https://imo10.labirint.ru/books/945154/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,1221,1 221 ₽,https://www.labirint.ru/books/952665/,labirint,978719132336,"Лань: 

Компьютеры и программное обеспечение, 2023. Программирование микропроцессорных систем на языке С-51. Учебное пособие",https://imo10.labirint.ru/books/952665/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,4757,4 757 ₽,https://www.labirint.ru/books/929724/,labirint,978609552949,"ДМК-Пресс, 2023. Разработка веб-приложений GraphQL с React, Node.js и Neo4j",https://imo10.labirint.ru/books/929724/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Docker Compose для разработчика,Гадзурас Эммануил,3805,3 805 ₽,https://www.labirint.ru/books/941849/,labirint,978205964341,"ДМК-Пресс, 2023. Docker Compose для разработчика",https://imo10.labirint.ru/books/941849/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Шаблоны программирования для начинающих с примерами Python,Бернштейн Дэвид,1099,1 099 ₽,https://www.labirint.ru/books/1026363/,labirint,978196213231,"Попурри, 2023. Шаблоны программирования для начинающих с примерами Python",https://imo10.labirint.ru/books/1026363/cover.jpg/363-0,Попурри,2023,Фантастика,2026-01-20 01:40:57
Шаблоны программирования для начинающих с примерами на JavaScript,Бернштейн Дэвид,1099,1 099 ₽,https://www.labirint.ru/books/1026364/,labirint,978670513843,"Попурри, 2023. Шаблоны программирования для начинающих с примерами на JavaScript",https://imo10.labirint.ru/books/1026364/cover.jpg/363-0,Попурри,2023,Фантастика,2026-01-20 01:40:57
Название не указано,Автор не указан,0,0 ₽,,labirint,978595492628,"Издательство не указано, 2023. Название не указано",,Издательство не указано,2023,Фантастика,2026-01-20 01:40:57
Python для начинающих. Учимся программировать с помощью мини-игр и загадок,Юэнс-Кларк Кен,1977,1 977 ₽,https://www.labirint.ru/books/1018276/,labirint,978208903687,"Феникс: 

Библиотека программиста, 2023. Python для начинающих. Учимся программировать с помощью мини-игр и загадок",https://imo10.labirint.ru/books/1018276/cover.jpg/363-0,"Феникс: 

Библиотека программиста",2023,Фантастика,2026-01-20 01:40:57
JavaScript. Создание визуальных эффектов. Учебное пособие для СПО,Янцев Валерий Викторович,1379,1 379 ₽,https://www.labirint.ru/books/1015908/,labirint,978562119158,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Создание визуальных эффектов. Учебное пособие для СПО",https://imo10.labirint.ru/books/1015908/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Math CAD и Python. Обучение по технологии STEM. Учебное пособие,"Очков, Тихонов",5870,5 870 ₽,https://www.labirint.ru/books/994886/,labirint,978507850793,"Лань: 

Компьютеры и программное обеспечение, 2023. Math CAD и Python. Обучение по технологии STEM. Учебное пособие",https://imo10.labirint.ru/books/994886/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
"Изучаем PowerShell за месяц, занимаясь один час в день. Для пользователей Windows, Linux и macOS","Петти, Планк, Леонхардт",3818,3 818 ₽,https://www.labirint.ru/books/998451/,labirint,978314733273,"Бомбора: 

Мировой компьютерный бестселлер (обложка), 2023. Изучаем PowerShell за месяц, занимаясь один час в день. Для пользователей Windows, Linux и macOS",https://imo10.labirint.ru/books/998451/cover.jpg/363-0,"Бомбора: 

Мировой компьютерный бестселлер (обложка)",2023,Фантастика,2026-01-20 01:40:57
Численные методы безусловной оптимизации. Учебное пособие,"Каныгин, Колесникова",2440,2 440 ₽,https://www.labirint.ru/books/984959/,labirint,978585690547,"Инфра-Инженерия, 2023. Численные методы безусловной оптимизации. Учебное пособие",https://imo10.labirint.ru/books/984959/cover.jpg/363-0,Инфра-Инженерия,2023,Фантастика,2026-01-20 01:40:57
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум,"Баллод, Гвоздева",760,760 ₽,https://www.labirint.ru/books/779880/,labirint,978876245344,"Лань: 

Компьютеры и программное обеспечение, 2023. Проектирование информационных систем. Основы управления проектами. Лабораторный практикум",https://imo10.labirint.ru/books/779880/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Разработка защищенных программных средств информатизации производственных процессов предприятия,"Бабушкин, Тумбинская",2500,2 500 ₽,https://www.labirint.ru/books/959154/,labirint,978352725921,"Инфра-Инженерия, 2023. Разработка защищенных программных средств информатизации производственных процессов предприятия",https://imo10.labirint.ru/books/959154/cover.jpg/363-0,Инфра-Инженерия,2023,Фантастика,2026-01-20 01:40:57
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,2383,2 383 ₽,https://www.labirint.ru/books/955616/,labirint,978265500407,"Бомбора: 

КиберБез. Лучшие книги о безопасности в сети, 2023. Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков",https://imo10.labirint.ru/books/955616/cover.jpg/363-0,"Бомбора: 

КиберБез. Лучшие книги о безопасности в сети",2023,Фантастика,2026-01-20 01:40:57
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,392,392 ₽,https://www.labirint.ru/books/955790/,labirint,978908436936,"Прометей, 2023. Линейное программирование. Часть 1. Учебное пособие для бакалавриата",https://imo10.labirint.ru/books/955790/cover.jpg/363-0,Прометей,2023,Фантастика,2026-01-20 01:40:57
